step_time,reward,all_wait,max_wait,emergy_wait,all_wait_per_lane_ave,ave_wait
290.0,-406.1999999999998,3022.7,160.8,0,77.24969246031745,51.23
300.0,-197.0,3219.7,170.8,0,94.5157242063492,59.62
310.0,-351.5,3571.2,180.8,0,90.36875,60.53
320.0,590.0999999999999,2981.1,180.1,0,90.72142857142858,50.53
330.0,672.5999999999999,2308.5,142.3,0,76.0302489177489,39.13
340.0,612.3,1696.2,150.8,0,77.81166666666667,31.41
350.0,-189.70000000000005,1885.9,160.8,0,72.71349206349205,34.29
360.0,-219.0999999999999,2105.0,170.8,0,77.71702380952381,39.72
370.0,-232.5,2337.5,180.8,0,80.36874999999998,45.83
380.0,-464.4000000000001,2801.9,190.8,0,95.96171085858586,50.94
390.0,-161.69999999999982,2963.6,200.8,0,85.22426767676767,52.92
400.0,-379.3000000000002,3342.9,210.8,0,105.9227398989899,63.07
410.0,-83.40000000000009,3426.3,220.8,0,90.15263888888887,61.18
420.0,-441.0999999999999,3867.4,230.8,0,120.43979166666665,71.62
430.0,-225.4000000000001,4092.8,240.8,0,106.3780303030303,73.09
440.0,479.2000000000003,3613.6,250.8,0,117.85722222222222,72.27
450.0,-255.9000000000001,3869.5,260.8,0,48.059090909090905,65.58
460.0,-416.0,4285.5,270.8,0,130.5019696969697,76.53
470.0,1473.1999999999998,2812.3,201.7,0,85.90780303030303,47.67
480.0,259.8000000000002,2552.5,211.7,0,89.77580447330448,41.84
490.0,190.0,2362.5,221.7,0,48.37291666666667,38.73
500.0,-103.80000000000018,2466.3,231.7,0,89.58527777777779,40.43
510.0,674.2000000000003,1792.1,199.9,0,62.704166666666666,27.57
520.0,-252.80000000000018,2044.9,209.9,0,84.61810515873016,33.52
530.0,-107.79999999999973,2152.7,219.9,0,54.97333333333332,37.77
540.0,-10.700000000000273,2163.4,229.9,0,90.82434523809522,40.06
550.0,-249.79999999999973,2413.2,239.9,0,81.00709325396825,43.88
560.0,-142.60000000000036,2555.8,249.9,0,96.51780303030301,48.22
570.0,492.10000000000036,2063.7,120.6,0,72.10553571428571,35.58
580.0,160.5999999999999,1903.1,110.8,0,78.31758928571429,32.81
590.0,-156.9000000000001,2060.0,120.8,0,64.33375,33.77
600.0,-23.199999999999818,2083.2,130.8,0,87.63361111111112,38.58
610.0,42.49999999999977,2040.7,140.8,0,69.26562770562771,38.5
620.0,-167.60000000000014,2208.3,150.8,0,84.28666666666666,45.07
630.0,-274.6999999999998,2483.0,160.8,0,77.83993506493508,46.85
640.0,402.0,2081.0,130.6,0,83.53425595238096,40.02
650.0,381.5999999999999,1699.4,140.6,0,69.77470238095239,33.32
660.0,-175.69999999999982,1875.1,150.6,0,83.82446428571428,40.76
670.0,-296.7000000000003,2171.8,160.6,0,74.07053571428571,43.44
680.0,-30.799999999999727,2202.6,170.6,0,89.05952380952381,45.89
690.0,518.3999999999999,1684.2,120.9,0,40.94553571428571,33.02
700.0,-155.0999999999999,1839.3,130.9,0,80.0356746031746,36.79
710.0,-137.60000000000014,1976.9,140.9,0,70.0297123015873,40.34
720.0,-380.6999999999998,2357.6,150.9,0,91.73959415584415,46.23
730.0,-110.30000000000018,2467.9,160.9,0,67.55284090909092,49.36
740.0,-338.7999999999997,2806.7,170.9,0,86.1071794871795,53.97
750.0,-315.10000000000036,3121.8,180.9,0,75.39730769230769,57.81
760.0,441.5,2680.3,190.9,0,90.47613636363637,48.73
770.0,-81.19999999999982,2761.5,200.9,0,70.55704545454546,48.45
780.0,317.8000000000002,2443.7,210.9,0,88.18458333333334,49.87
790.0,754.4999999999998,1689.2,140.0,0,61.303260281385285,30.16
800.0,-283.79999999999995,1973.0,150.0,0,76.378125,36.54
810.0,485.5,1487.5,132.4,0,53.59848484848485,28.61
820.0,41.40000000000009,1446.1,109.7,0,72.15049603174603,28.35
830.0,-207.9000000000001,1654.0,119.7,0,45.14142857142857,30.63
840.0,-439.6999999999998,2093.7,129.7,0,83.2374945887446,38.77
850.0,99.29999999999973,1994.4,139.7,0,71.70738636363637,38.35
860.0,-306.0,2300.4,149.7,0,83.13111471861473,44.24
870.0,293.5,2006.9,159.7,0,65.0951388888889,37.16
880.0,-217.69999999999982,2224.6,169.7,0,82.69300595238096,39.72
890.0,276.1999999999998,1948.4,179.7,0,64.36155032467532,38.2
900.0,-91.29999999999995,2039.7,189.7,0,86.42369047619047,36.42
910.0,524.9000000000001,1514.8,117.3,0,42.25555555555556,27.05
